id;request_id;submitted_by;submitted_date;approved_by;approval_date;status;account_numer
1;42059;Plastic Electronics;2020-05-23;Steel Tools;2020-05-22;capability Kenyan Shilling;61949
2;87110;National;2020-05-22;Salad;2020-05-22;Pants;79592
3;30735;reintermediate Ukraine Virginia;2020-05-22;backing up enable;2020-05-22;Forward relationships;30620
4;43555;Unbranded program Awesome;2020-05-22;Washington efficient directional;2020-05-22;bus grid-enabled deploy;98134
5;85105;Table Idaho Infrastructure;2020-05-22;Frozen Metal;2020-05-22;disintermediate;83929
6;99563;Harbor Cross-group object-oriented;2020-05-22;Handmade platforms;2020-05-22;deposit transmitting client-driven;98742
7;97236;indigo;2020-05-22;hardware systems Alaska;2020-05-22;Director Sausages;67295
8;14261;Group;2020-05-22;copy;2020-05-22;B2B;55319
9;61363;web-enabled fuchsia Alaska;2020-05-22;Refined Rubber Fish;2020-05-23;driver;44041
10;29562;grid-enabled;2020-05-23;scalable;2020-05-22;Ukraine Trail Islands;54782
